DEB [20240505-22:12:03.928] thr=1   paramiko.transport: starting thread (client mode): 0xfd007a10
DEB [20240505-22:12:03.929] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.4.0
DEB [20240505-22:12:03.929] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.3p1 Ubuntu-1ubuntu3.3
INF [20240505-22:12:03.929] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.3p1)
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: client lang: <none>
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: server lang: <none>
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: kex follows: False
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: Strict kex mode: True
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: Compression: none
DEB [20240505-22:12:03.930] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20240505-22:12:03.935] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20240505-22:12:03.935] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20240505-22:12:03.935] thr=1   paramiko.transport: Switch to new keys ...
DEB [20240505-22:12:03.935] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20240505-22:12:03.935] thr=2   paramiko.transport: Adding ssh-ed25519 host key for [localhost]:2222: b'c4ca24b2950156a1cc942899f65e387a'
DEB [20240505-22:12:03.936] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0'}
DEB [20240505-22:12:21.596] thr=1   paramiko.transport: starting thread (client mode): 0x68303b60
DEB [20240505-22:12:21.596] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.4.0
DEB [20240505-22:12:21.596] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.3p1 Ubuntu-1ubuntu3.3
INF [20240505-22:12:21.596] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.3p1)
DEB [20240505-22:12:21.597] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20240505-22:12:21.597] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20240505-22:12:21.597] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20240505-22:12:21.597] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
